"zip","city","county","pop"
"23844","Drewryville","Southampton","612"
"23968","Skipwith","Mecklenburg","604"
"24318","Ceres","Bland","599"
"24221","Blackwater","Lee","596"
"23303","Atlantic","Accomack","587"
"22976","Tyro","Nelson","587"
"24483","Vesuvius","Rockbridge","582"
"23092","Locust Hill","Middlesex","568"
"24613","Falls Mills","Tazewell","560"
"23395","Horntown","Accomack","558"
"23085","King And Queen Court Hous","King And Queen","557"
"22535","Port Royal","Caroline","554"
"24484","Warm Springs","Bath","549"
"24366","Rocky Gap","Bland","548"
"22639","Hume","Fauquier","544"
"22943","Greenwood","Albemarle","538"
"24580","Nelson","Mecklenburg","531"
"22718","Elkwood","Culpeper","528"
"24562","Howardsville","Albemarle","526"
"23934","Cullen","Charlotte","524"
"20129","Paeonian Springs","Loudoun","522"
"23316","Cheriton","Northampton","521"
"23845","Ebony","Brunswick","519"
"24011","Roanoke","Roanoke City","518"
"23897","Yale","Sussex","516"
"23879","Skippers","Greensville","512"
"22548","Sharps","Richmond","511"
"23708","Portsmouth","Portsmouth City","508"
"22716","Castleton","Rappahannock","507"
"23440","Tangier","Accomack","506"
"24161","Sandy Level","Pittsylvania","505"
"22650","Rileyville","Page","499"
"23126","Newtown","King And Queen","496"
"20184","Upperville","Fauquier","496"
"24246","East Stone Gap","Wise","492"
"23651","Fort Monroe","Hampton City","479"
"24105","Indian Valley","Floyd","468"
"24634","Pilgrims Knob","Buchanan","462"
"22640","Huntly","Rappahannock","459"
"24185","Woolwine","Patrick","458"
"23461","Virginia Beach","Virginia Beach City","453"
"24351","Lambsburg","Carroll","447"
"23909","Farmville","Prince Edward","447"
"23337","Wallops Island","Accomack","430"
"23056","Foster","Mathews","428"
"22433","Burr Hill","Orange","427"
"23423","Quinby","Accomack","419"
"23843","Dolphin","Brunswick","417"
"23032","Church View","Middlesex","413"
"23079","Jamaica","Middlesex","409"
"24458","Mc Dowell","Highland","401"
"23125","New Point","Mathews","401"
"24292","Whitetop","Grayson","392"
"24269","Mc Clure","Dickenson","390"
"24168","Stanleytown","Henry","385"
"23110","Mattaponi","King And Queen","385"
"22504","Laneview","Essex","384"
"24657","Whitewood","Buchanan","381"
"23480","Wachapreague","Accomack","380"
"23176","Wake","Middlesex","370"
"23488","Withams","Accomack","366"
"24139","Pittsville","Pittsylvania","359"
"22641","Strasburg","Shenandoah","359"
"22438","Champlain","Essex","358"
"24485","West Augusta","Augusta","333"
"23828","Branchville","Southampton","333"
"23899","Claremont","Surry","330"
"24377","Tannersville","Tazewell","329"
"23070","Hardyville","Middlesex","328"
"24487","Williamsville","Bath","322"
"23021","Bohannon","Mathews","322"
"23119","Moon","Mathews","319"
"23887","Valentines","Brunswick","307"
"22964","Piney River","Nelson","298"
"22643","Markham","Fauquier","289"
"22820","Criders","Rockingham","287"
"24536","Coleman Falls","Bedford","286"
"24432","Deerfield","Augusta","286"
"23893","White Plains","Brunswick","286"
"24132","Parrott","Pulaski","282"
"24217","Bee","Dickenson","278"
"22931","Covesville","Albemarle","273"
"24413","Blue Grass","Highland","269"
"23876","Rawlings","Brunswick","267"
"22972","Somerset","Orange","267"
"22743","Syria","Madison","259"
"24448","Iron Gate","Alleghany","256"
"22719","Etlan","Madison","255"
"24607","Breaks","Dickenson","254"
"23064","Grimstead","Mathews","253"
"23187","Williamsburg","Williamsburg City","251"
"24628","Maxie","Buchanan","250"
"23091","Little Plymouth","King And Queen","245"
"20139","Casanova","Fauquier","245"
"22722","Haywood","Madison","244"
"24058","Belspring","Pulaski","242"
"24239","Davenport","Buchanan","241"
"22432","Burgess","Northumberland","241"
"23952","Lunenburg","Lunenburg","238"
"23427","Saxis","Accomack","238"
"22476","Hustle","Essex","238"
"20130","Paris","Fauquier","236"
"23938","Dundas","Lunenburg","233"
"22749","Woodville","Rappahannock","228"
"24476","Steeles Tavern","Augusta","225"
"23130","Onemo","Mathews","223"
"22730","Oakpark","Madison","223"
"23389","Harborton","Accomack","221"
"22732","Radiant","Madison","217"
"24606","Boissevain","Tazewell","209"
"24457","Low Moor","Alleghany","207"
"24167","Staffordsville","Giles","206"
"23068","Hallieford","Mathews","195"
"24604","Bishop","Tazewell","189"
"23313","Capeville","Northampton","184"
"23025","Cardinal","Mathews","179"
"23414","Nelsonia","Accomack","174"
"24464","Montebello","Nelson","168"
"22530","Ophelia","Northumberland","168"
"23416","Oak Hall","Accomack","166"
"24612","Doran","Tazewell","165"
"22948","Locust Dale","Madison","165"
"22741","Stevensburg","Culpeper","165"
"23302","Assawoman","Accomack","162"
"23354","Franktown","Northampton","159"
"23409","Mears","Accomack","158"
"22529","Oldhams","Westmoreland","154"
"23691","Yorktown","York","152"
"23401","Keller","Accomack","151"
"23422","Pungoteague","Accomack","147"
"22946","Keene","Albemarle","138"
"23045","Diggs","Mathews","134"
"23441","Tasley","Accomack","125"
"24442","Head Waters","Highland","123"
"22723","Hood","Madison","121"
"22538","Rappahannock Academy","Caroline","121"
"24086","Eggleston","Giles","113"
"23161","Stevensville","King And Queen","111"
"22509","Loretto","Essex","102"
"24093","Glen Lyn","Giles","101"
"23066","Gwynn","Mathews","100"
"24322","Cripple Creek","Wythe","99"
"23426","Sanford","Accomack","94"
"23358","Hacksneck","Accomack","89"
"23108","Mascot","King And Queen","89"
"23963","Red House","Charlotte","88"
"22646","Millwood","Clarke","83"
"24539","Crystal Hill","Halifax","80"
"24433","Doe Hill","Highland","73"
"22579","Wicomico Church","Northumberland","71"
"23408","Marionville","Northampton","69"
"23943","Hampden Sydney","Prince Edward","54"
"24411","Augusta Springs","Augusta","52"
"23115","Millers Tavern","Essex","49"
"22731","Pratts","Madison","39"
"23884","Sussex","Sussex","38"
"23304","Battery Park","Isle Of Wight","36"
"23976","Wylliesburg","Charlotte","34"
"23398","Jamesville","Northampton","31"
"24581","Norwood","Nelson","27"
"24412","Bacova","Bath","27"
"23163","Susan","Mathews","27"
"22711","Banco","Madison","26"
"23486","Willis Wharf","Northampton","23"
"22989","Woodberry Forest","Madison","17"
"24130","Oriskany","Botetourt","15"
"24131","Paint Bank","Craig","10"
"22845","Orkney Springs","Shenandoah","9"
"20118","Middleburg","Loudoun","7"
"24601","Amonate","Tazewell","0"
"24570","Lowry","Bedford","0"
"24415","Brownsburg","Rockbridge","0"
"24316","Broadford","Smyth","0"
"23250","Richmond","Henrico","0"
"22214","Arlington","Arlington","0"
"22185","Vienna","Fairfax","0"
"22035","Fairfax","Fairfax","0"
